Time ch_1 ch_2 ch_3 ch_4 ch_5 ch_6 ch_7 ch_8 
1180217.862728 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180217.870755 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180217.881423 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180217.890973 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180217.902889 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180217.911807 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180217.921755 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180217.930558 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180217.940852 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180217.950635 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180217.960580 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180217.970564 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180217.980587 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180217.990627 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.002514 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.011595 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.020746 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.030538 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.040769 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.050717 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.060593 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.070933 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.080686 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.090624 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.101206 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.110542 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.120574 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.131354 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.142037 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.150587 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.160579 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.170872 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.180605 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.191381 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.200740 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.211172 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.222139 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.230655 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.240851 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.250861 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.260518 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.271001 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.280405 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.291028 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.301489 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.310273 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.320405 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.330650 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.341631 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.350412 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.360590 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.370402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.380704 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.390522 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.400561 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.410462 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.420443 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.430867 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.440772 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.451586 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.461506 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.470366 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.480763 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.490451 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.500520 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.511027 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.520770 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.530746 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.540959 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.551014 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.561104 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.571330 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.582283 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.591847 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.600405 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.610948 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.620303 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
1180218.630655 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.640861 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.650813 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
1180218.661938 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.670564 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.680621 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.691266 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.700549 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 -0.951057 
1180218.711378 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 -0.587785 
1180218.720831 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1180218.730727 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 0.587785 
1180218.741242 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 0.951057 
