Time ch_1 ch_2 ch_3 ch_4 ch_5 ch_6 ch_7 ch_8 
1690427.227408 0.009128 -0.463913 -2.080192 -0.778555 -1.426849 0.787680 -1.370780 -1.025928 
1690427.235707 -0.276511 0.602671 -0.118687 -0.425731 0.353274 -0.656135 -1.276983 0.181117 
1690427.245915 -0.877489 0.572345 0.319832 0.963761 1.013363 2.195438 0.428760 -0.110091 
1690427.256163 0.930894 2.211789 1.625865 -0.305050 1.049302 -0.219797 -1.942284 -0.227213 
1690427.266593 0.304659 -1.256912 0.986473 -0.223412 -0.022523 0.775517 1.234687 -1.550272 
1690427.276125 1.758966 -0.231722 0.116263 0.137747 -0.297465 -0.364219 0.333797 0.643346 
1690427.285964 -0.690525 -1.098123 -0.809154 -0.449455 0.811237 -1.083050 -0.482682 0.803762 
1690427.295591 0.821877 -1.613484 -1.479338 0.503760 -0.812060 -1.439721 -1.378847 0.270757 
1690427.305391 -0.732652 -1.087589 -0.415050 1.067238 1.709411 0.460526 -0.106151 -0.851531 
1690427.315692 -1.853736 -2.347763 0.709943 0.112481 0.113377 2.507484 -0.309484 -0.910005 
1690427.325848 1.617338 -0.618677 -1.022172 1.218474 0.570102 0.201882 -0.275916 0.569858 
1690427.337567 0.964848 -1.351476 0.089171 -1.101140 -0.757619 0.590110 -0.821366 2.159375 
1690427.345732 -0.003088 1.773934 0.611042 0.225825 -0.890399 -0.269653 -0.619560 -0.183993 
1690427.355656 -1.728036 -0.660248 -0.489349 -0.037099 0.681160 1.212142 -0.841977 0.284511 
1690427.365831 0.794811 0.561524 -0.155688 1.859495 0.031834 1.072386 -0.733777 0.854771 
1690427.377329 1.375170 -0.248307 1.299088 1.477150 -1.194925 0.333418 1.430498 -0.304542 
1690427.385876 0.714603 1.194423 0.174976 -0.101169 0.781145 -0.567603 -0.223569 -0.204958 
1690427.396060 0.046340 0.204737 1.211887 -1.980918 -0.355234 -0.809778 0.356869 -0.930023 
1690427.405686 -0.592289 -0.188852 0.425557 0.546716 -0.486603 0.799998 0.050942 1.619610 
1690427.416111 0.595495 0.663661 -0.354654 2.929658 -0.406321 1.691859 1.264770 -0.812287 
1690427.424611 0.826023 1.534092 -1.101639 0.505633 -0.218670 -0.505424 -1.568624 0.057239 
1690427.434552 0.408716 -1.107193 -0.426096 0.306177 -0.746808 -0.470648 -0.946494 -0.167778 
1690427.446215 -0.809351 0.600235 1.684845 0.549352 -0.119882 1.086542 -1.004967 -1.155203 
1690427.455121 0.175952 -2.109077 0.829894 0.059405 -0.002964 -0.049562 2.130789 -1.579984 
1690427.464495 0.200720 -0.376339 0.681761 -0.094499 -0.652281 0.388066 0.238492 1.461674 
1690427.476196 -0.190328 1.836154 -0.438888 0.274743 -2.008139 0.588005 1.443642 -0.725614 
1690427.485647 0.122626 3.055450 -0.686822 -0.711802 -2.203871 1.172526 -2.344829 1.269473 
1690427.495996 0.645530 0.472811 1.305147 -1.585269 -1.126084 -1.384760 0.158408 -0.606438 
1690427.507120 -2.112034 0.735990 -0.602424 0.523190 -0.899674 0.156236 1.732993 -0.162295 
1690427.515654 -0.678478 -0.466938 -0.084287 0.375319 0.035683 -0.874789 -0.363156 1.607383 
1690427.526407 1.318685 -0.918668 -0.125270 0.776214 0.404776 0.388323 -1.772814 1.251518 
1690427.537018 -0.718896 -0.672904 0.721894 0.609714 0.446320 1.634033 -1.128716 -1.325599 
1690427.545427 0.644651 0.641323 -0.227013 0.463076 -0.888041 0.455950 -0.138734 1.374762 
1690427.554796 -0.381219 -0.697329 0.899839 0.312790 -0.716358 0.934393 -0.769868 0.218900 
