Time, Marker
1690436.382635, Start_Intro_Open_Eyes
1690439.404114, Stop_Intro_Open_Eyes
1690439.430737, Start_Open_Eyes
1690449.438034, Stop_Open_Eyes
1690449.962329, Start_Intro_Close_Eyes
1690452.470743, Stop_Intro_Close_Eyes
1690452.497473, Start_Close_Eyes
1690462.502645, Stop_Close_Eyes
1690462.830642, Start_Intro_NF
1690465.529308, Stop_Intro_NF
1690465.555901, Start_NF
1690466.672198, CalValue:1.2617
1690466.698618, CalValue:1.1011
1690466.726310, CalValue:1.0573
1690466.756689, CalValue:1.0276
1690466.802753, CalValue:0.97654
1690466.829052, CalValue:1.0093
1690466.861612, CalValue:1.0671
1690466.890218, CalValue:1.0008
1690466.916865, CalValue:0.99534
1690466.943929, CalValue:1.0036
1690466.971095, CalValue:1.027
1690466.997711, CalValue:1.0101
1690467.026879, CalValue:0.95141
1690467.062501, CalValue:0.9544
1690467.090499, CalValue:1.045
1690467.118015, CalValue:1.0595
1690467.145617, CalValue:1.1993
1690467.172999, CalValue:1.0541
1690467.199503, CalValue:1.1125
1690467.226313, CalValue:1.114
1690467.253055, CalValue:1.0931
1690467.279747, CalValue:1.1766
1690467.306414, CalValue:1.1644
1690467.333124, CalValue:1.1559
1690467.361469, CalValue:1.2123
1690467.390049, CalValue:1.168
1690467.416622, CalValue:1.1998
1690467.443472, CalValue:1.1973
1690467.470026, CalValue:1.1768
1690467.496422, CalValue:1.1543
1690467.526399, CalValue:1.1519
1690467.561935, CalValue:1.1509
1690467.589437, CalValue:1.0955
1690467.616115, CalValue:1.1156
1690467.643470, CalValue:1.1384
1690467.669791, CalValue:1.1117
1690467.697319, CalValue:1.0966
1690467.726520, CalValue:1.1163
1690467.760556, CalValue:1.1409
1690467.789884, CalValue:1.1993
1690467.816373, CalValue:1.1875
1690467.844543, CalValue:1.2182
1690467.870984, CalValue:1.2568
1690467.897606, CalValue:1.2301
1690467.926783, CalValue:1.1122
1690467.954691, CalValue:1.056
1690467.981170, CalValue:1.0485
1690468.008917, CalValue:0.88574
1690468.035087, CalValue:0.91649
1690468.061466, CalValue:0.94144
1690468.088040, CalValue:0.99342
1690468.114986, CalValue:1.0031
1690468.142354, CalValue:0.95581
1690468.168474, CalValue:0.76715
1690468.194941, CalValue:0.79708
1690468.222189, CalValue:0.72874
1690468.248364, CalValue:0.72344
1690468.276140, CalValue:0.81172
1690468.302574, CalValue:0.64898
1690468.328936, CalValue:0.6635
1690468.355932, CalValue:0.71139
1690468.382341, CalValue:0.66836
1690468.408986, CalValue:0.77834
1690468.435124, CalValue:0.74332
1690468.462310, CalValue:0.77823
1690468.488443, CalValue:0.83981
1690468.514916, CalValue:0.75967
1690468.542623, CalValue:0.67916
1690468.568714, CalValue:0.71281
1690468.594821, CalValue:0.69904
1690468.622316, CalValue:0.67044
1690468.649194, CalValue:0.69673
1690468.677134, CalValue:0.67817
1690468.703147, CalValue:0.67691
1690468.729454, CalValue:0.67085
1690468.755841, CalValue:0.69412
1690468.781938, CalValue:0.69371
1690468.809208, CalValue:0.68771
1690468.836560, CalValue:0.73818
1690468.864712, CalValue:0.6604
1690468.891334, CalValue:0.57543
1690468.918115, CalValue:0.82098
1690468.944571, CalValue:0.79397
1690468.970966, CalValue:0.69881
1690468.997328, CalValue:0.70159
1690469.023543, CalValue:0.90769
1690469.051382, CalValue:0.86684
1690469.078376, CalValue:0.83092
1690469.104701, CalValue:0.78884
1690469.131053, CalValue:0.86123
1690469.157302, CalValue:0.99813
1690469.183597, CalValue:0.86337
1690469.210199, CalValue:0.89893
1690469.236753, CalValue:0.84218
1690469.264250, CalValue:0.81018
1690469.290595, CalValue:0.83124
1690469.317162, CalValue:0.74372
1690469.343546, CalValue:0.70697
1690469.369638, CalValue:0.74759
1690469.396203, CalValue:0.77646
1690469.422476, CalValue:0.76966
1690469.448937, CalValue:0.80885
1690469.476025, CalValue:0.73043
1690469.502411, CalValue:0.77438
1690469.528633, CalValue:0.7039
1690469.555549, CalValue:0.77927
1690469.581900, CalValue:1.0171
1690469.608944, CalValue:0.98012
1690469.635280, CalValue:0.98001
1690469.662221, CalValue:0.9881
1690469.688338, CalValue:1.0528
1690469.714835, CalValue:1.0847
1690469.742723, CalValue:1.0886
1690469.769050, CalValue:1.1327
1690469.795439, CalValue:1.176
1690469.826288, CalValue:1.2584
1690469.860135, CalValue:1.2712
1690469.890063, CalValue:1.272
1690469.916602, CalValue:1.2735
1690469.943612, CalValue:1.3659
1690469.969964, CalValue:1.4728
1690469.997073, CalValue:1.3692
1690470.026130, CalValue:1.3586
1690470.059420, CalValue:1.3216
1690470.089442, CalValue:1.1892
1690470.115621, CalValue:1.3359
1690470.144268, CalValue:1.3772
1690470.170842, CalValue:1.3021
1690470.197061, CalValue:1.3194
1690470.226327, CalValue:1.3378
1690470.255424, CalValue:1.3406
1690470.281888, CalValue:1.4227
1690470.310594, CalValue:1.3594
1690470.336653, CalValue:1.3071
1690470.364518, CalValue:1.3538
1690470.394069, CalValue:1.5194
1690470.426437, CalValue:1.5007
1690470.456270, CalValue:1.5285
1690470.482593, CalValue:1.4827
1690470.510130, CalValue:1.4055
1690470.536625, CalValue:1.4139
1690470.563316, CalValue:1.4331
1690470.589499, CalValue:1.4477
1690470.616114, CalValue:1.4203
1690470.642686, CalValue:1.3018
1690470.668882, CalValue:1.2863
1690470.695151, CalValue:1.3136
1690470.722019, CalValue:1.2981
1690470.749981, CalValue:1.2671
1690470.776409, CalValue:1.2639
1690470.802516, CalValue:1.219
1690470.829022, CalValue:1.2647
1690470.855505, CalValue:1.2485
1690470.882001, CalValue:1.1987
1690470.909424, CalValue:1.1962
1690470.936268, CalValue:1.1807
1690470.962544, CalValue:1.1736
1690470.989269, CalValue:1.196
1690471.015535, CalValue:1.2075
1690471.042669, CalValue:1.1762
1690471.068809, CalValue:1.1847
1690471.095572, CalValue:1.1847
1690471.121897, CalValue:1.1847
1690471.148146, CalValue:1.1847
1690471.175845, CalValue:0.88469
1690471.202464, CalValue:0.82704
1690471.228885, CalValue:0.78403
1690471.256123, CalValue:0.7668
1690471.282369, CalValue:0.76469
1690471.309469, CalValue:0.87237
1690471.335881, CalValue:0.73323
1690471.362487, CalValue:0.6984
1690471.388978, CalValue:0.60857
1690471.415363, CalValue:0.65015
1690471.443057, CalValue:0.61806
1690471.469200, CalValue:0.68997
1690471.495568, CalValue:0.62677
1690471.522052, CalValue:0.58345
1690471.548233, CalValue:0.68542
1690471.575554, CalValue:0.79687
1690471.601899, CalValue:0.80186
1690471.629014, CalValue:0.78456
1690471.655520, CalValue:0.76737
1690471.682189, CalValue:0.77302
1690471.709459, CalValue:0.86162
1690471.735757, CalValue:0.89457
1690471.762096, CalValue:0.92101
1690471.789385, CalValue:0.79341
1690471.815531, CalValue:0.77148
1690471.842619, CalValue:0.70063
1690471.868663, CalValue:0.84162
1690471.894710, CalValue:0.86703
1690471.922120, CalValue:0.88001
1690471.948774, CalValue:0.84818
1690471.975919, CalValue:0.9604
1690472.002118, CalValue:0.93566
1690472.028508, CalValue:1.0097
1690472.055440, CalValue:1.1433
1690472.082336, CalValue:1.1333
1690472.109506, CalValue:1.1296
1690472.135786, CalValue:1.0998
1690472.161933, CalValue:1.0937
1690472.189338, CalValue:1.3122
1690472.215406, CalValue:1.1255
1690472.242940, CalValue:1.1544
1690472.269117, CalValue:1.1197
1690472.295434, CalValue:1.117
1690472.321929, CalValue:1.1826
1690472.348840, CalValue:1.1117
1690472.379479, CalValue:1.1995
1690472.406190, CalValue:1.1821
1690472.432398, CalValue:1.1837
1690472.460735, CalValue:1.181
1690472.494888, CalValue:0.98273
1690472.526436, CalValue:0.93527
1690472.556076, CalValue:0.95671
1690472.584153, CalValue:0.99345
1690472.610840, CalValue:1.0354
1690472.637092, CalValue:0.97295
1690472.664672, CalValue:0.96329
1690472.697443, CalValue:1.0939
